0|0,018|49,41|-1235,33|0|1|0|0|0|1|-1|1
0,175|0,018|48,818|-1235,33|0|1|0|0|0|7|-7|1
0,35|0,018|48,433|-1235,33|0|1|0|0|0|0|0|1
0,525|0,018|48,433|-1235,33|0|1|0|0|0|0|0|1
0,7|0,018|48,433|-1235,33|0|1|0|0|0|0|0|1
0,875|0,018|48,433|-1235,33|0|1|0|0|0|0|0|1
1,05|0,018|48,433|-1235,33|0|1|0|0|0|0|0|1
1,225|-0,015|48,433|-1235,443|0|1|0|0|0|5|0|1
1,4|-0,232|48,433|-1236,395|0|1|0|-0,1|0|6|0|1
1,575|-0,331|48,433|-1237,438|0|1|0|0|0|6|0|1
1,75|-0,354|48,783|-1238,488|0|1|0|0|0|10|8|1
1,925|-0,371|49,788|-1239,501|0|1|0|0|1|7|3|1
2,1|-0,391|50,216|-1240,961|0|1|0|0|0|10|0|1
2,275|-0,41|49,763|-1242,978|0|1|0|0|1|14|-4|1
2,45|-0,434|49,448|-1245,455|0|1|0|0|1|16|1|1
2,625|-0,463|49,817|-1248,315|0|1|0|0|1|18|3|1
2,8|-0,495|50,144|-1251,496|0|1|0|0|0|19|-1|1
2,975|-0,525|49,461|-1254,947|0|1|0|0|0|22|-7|1
3,15|-0,555|47,79|-1258,623|0|1|0|0|0|25|-13|1
3,325|-0,588|46,078|-1262,487|0|1|0|0|1|23|-6|1
3,5|-0,625|45,441|-1266,509|0|1|0|0|1|23|0|1
3,675|-0,665|45,463|-1270,662|0|1|0|0|0|24|-3|1
3,85|-0,701|44,596|-1274,926|0|1|0|0|0|26|-8|1
4,025|-0,731|42,789|-1279,183|0|1|0|0|0|26|-13|1
4,2|-0,418|40,297|-1282,82|0|0,8|0|0,6|0|25|-16|1
4,375|0,315|37,248|-1285,796|0|0,7|0|0,7|0|25|-19|1
4,55|0,987|33,731|-1288,274|0|0,7|0|0,7|0|25|-21|1
4,725|1,545|30,147|-1290,009|0|0,1|0|1|0|1|0|1
4,9|1,194|30,147|-1289,684|0|-0,4|0|0,9|0|6|0|1
5,075|0,165|30,147|-1289,68|0|-0,7|0|0,7|0|6|0|1
5,25|-0,121|30,147|-1290,51|0|1|0|-0,2|0|6|0|1
5,425|0,023|30,147|-1291,544|0|1|0|0|0|6|0|1
5,6|0,263|30,147|-1292,566|0|1|0|0,1|0|6|0|1
5,775|0,513|30,147|-1293,586|0|1|0|0,1|0|6|0|1
5,95|0,712|30,147|-1294,616|0|1|0|0,1|0|6|0|1
6,125|0,742|30,801|-1295,657|0|1|0|0|0|9|7|1
6,3|0,711|31,592|-1296,703|0|1|0|0|1|8|4|1
6,475|0,626|32,091|-1297,882|0|1|0|-0,1|1|7|2|1
6,65|0,497|32,546|-1299,057|0|1|0|-0,1|1|7|2|1
