0|2,618|-0,971|-783,55|0|1|0|0|0|1|-1|1
0,175|2,618|-1,563|-783,55|0|1|0|0|0|7|-7|1
0,35|2,618|-1,953|-783,55|0|1|0|0|0|0|0|1
0,525|2,618|-1,953|-783,55|0|1|0|0|0|0|0|1
0,7|3,095|-1,953|-783,517|0|0,9|0|0,5|0|6|0|1
0,875|3,886|-1,953|-784,045|0|0,9|0|0,4|0|6|0|1
1,05|4,533|-1,953|-784,869|0|0,9|0|0,3|0|6|0|1
1,225|5,174|-1,953|-785,7|0|0,9|0|0,3|0|6|0|1
1,4|5,978|-1,953|-786,339|0|0,9|0|0,5|0|6|0|1
1,575|7,011|-1,953|-786,422|0|0,7|0|0,7|0|6|0|1
1,75|8,06|-1,953|-786,388|0|0,7|0|0,7|0|6|0|1
1,925|9,11|-1,953|-786,372|0|0,7|0|0,7|0|6|0|1
2,1|10,142|-1,047|-786,444|0|0,8|0|0,6|0|8|6|1
2,275|11,132|-0,381|-786,855|0|0,9|0|0,4|1|7|2|1
2,45|12,009|0,052|-787,644|0|0,9|0|0,3|1|7|3|1
2,625|12,752|0,515|-788,563|0|1|0|0,3|1|7|3|1
2,8|13,382|0,944|-789,562|0|1|0|0,2|1|7|3|1
2,975|13,913|1,41|-790,618|0|1|0|0,2|1|7|2|1
3,15|14,355|1,293|-791,628|0|1|0|0,2|0|7|-4|1
3,325|14,746|0,231|-792,563|0|1|0|0,2|0|11|-9|1
3,5|15,128|-1,622|-793,501|0|1|0|0,2|0|6|0|1
3,675|15,508|-1,953|-794,466|0|1|0|0,2|0|6|0|1
3,85|15,765|-1,953|-795,48|0|1|0|0,1|0|6|0|1
4,025|15,757|-1,953|-796,526|0|1|0|0|0|6|0|1
4,2|15,595|-1,953|-797,563|0|1|0|-0,1|0|6|0|1
4,375|15,418|-1,299|-798,59|0|1|0|-0,1|0|9|7|1
4,55|15,241|-0,508|-799,622|0|1|0|-0,1|1|8|4|1
4,725|15,049|-0,009|-800,788|0|1|0|-0,1|1|7|2|1
4,9|14,896|0,446|-801,961|0|1|0|0|1|7|2|1
5,075|14,795|0,884|-803,138|0|1|0|0|1|7|2|1
5,25|15,025|1,305|-804,281|0|1|0|0,3|1|7|3|1
5,425|15,662|1,759|-805,274|0|0,9|0|0,3|1|8|4|1
5,6|16,196|1,945|-806,269|0|1|0|0,1|0|6|-3|1
5,775|16,452|1,135|-807,252|0|1|0|0|0|10|-8|1
5,95|16,577|-0,508|-808,257|0|1|0|0|0|13|-12|1
6,125|16,558|-1,953|-809,27|0|1|0|-0,1|0|6|0|1
6,3|16,281|-1,953|-810,278|0|1|0|-0,1|0|6|0|1
6,475|15,968|-1,953|-811,28|0|1|0|-0,1|0|6|0|1
6,65|15,654|-1,953|-812,282|0|1|0|-0,2|0|6|0|1
6,825|15,372|-1,953|-813,293|0|1|0|-0,1|0|6|0|1
7|15,195|-1,953|-814,327|0|1|0|-0,1|0|6|0|1
7,175|15,063|-1,299|-815,362|0|1|0|-0,1|0|9|7|1
7,35|14,934|-0,508|-816,401|0|1|0|-0,1|1|8|4|1
7,525|14,782|-0,009|-817,573|0|1|0|-0,1|1|7|2|1
7,7|14,586|0,446|-818,739|0|1|0|-0,1|1|7|2|1
7,875|14,329|0,884|-819,892|0|1|0|-0,1|1|7|2|1
8,05|13,914|1,305|-820,996|0|1|0|-0,3|1|7|3|1
8,225|13,32|1,394|-821,925|0|0,9|0|-0,4|0|7|-3|1
8,4|12,691|0,503|-822,718|0|0,9|0|-0,4|0|10|-8|1
8,575|11,986|-1,207|-823,445|0|0,9|0|-0,5|0|14|-12|1
8,75|11,146|-1,953|-824,03|0|-0,9|0|0,5|0|6|0|1
8,925|10,213|-1,953|-824,51|0|-0,9|0|0,5|0|6|0|1
9,1|9,274|-1,953|-824,979|0|-0,8|0|0,5|0|6|0|1
9,275|8,269|-1,953|-825,264|0|-0,8|0|0,6|0|6|0|1
9,45|7,222|-1,953|-825,289|0|-0,7|0|0,7|0|6|0|1
9,625|6,27|-1,953|-825,031|0|-0,5|0|0,8|0|6|0|1
9,8|5,564|-1,953|-824,267|0|-0,4|0|0,9|0|6|0|1
9,975|4,64|-1,953|-823,949|0|-0,6|0|0,8|0|6|0|1
10,15|3,593|-1,953|-823,906|0|-0,7|0|0,7|0|6|0|1
10,325|2,586|-1,953|-824,148|0|-0,8|0|0,6|0|6|0|1
10,5|1,937|-1,953|-824,929|0|1|0|-0,3|0|6|0|1
10,675|1,747|-1,953|-825,952|0|1|0|-0,1|0|6|0|1
10,85|1,774|-1,953|-826,999|0|1|0|0|0|6|0|1
11,025|1,916|-1,953|-828,039|0|1|0|0,1|0|6|0|1
11,2|2,067|-1,953|-829,079|0|1|0|0,1|0|6|0|1
11,375|2,216|-0,844|-830,096|0|1|0|0,1|0|7|4|1
11,55|2,373|-0,302|-831,199|0|1|0|0,1|1|8|3|1
11,725|2,462|0,15|-832,377|0|1|0|0|1|7|3|1
11,9|2,445|0,621|-833,559|0|1|0|0|1|7|2|1
12,075|2,39|1,041|-834,74|0|1|0|0|1|7|3|1
12,25|2,322|1,47|-835,92|0|1|0|0|1|7|3|1
12,425|2,251|1,965|-837,1|0|1|0|0|0|7|1|1
12,6|2,185|1,73|-838,166|0|1|0|0|0|7|-5|1
12,775|2,123|0,569|-839,178|0|1|0|0|0|11|-9|1
12,95|2,06|-1,366|-840,189|0|1|0|0|0|15|-13|1
13,125|2,005|-1,953|-841,218|0|1|0|0|0|6|0|1
13,3|1,976|-1,953|-842,267|0|1|0|0|0|6|0|1
13,475|1,959|-1,953|-843,316|0|1|0|0|0|6|0|1
13,65|1,946|-1,953|-844,366|0|1|0|0|0|6|0|1
13,825|1,933|-1,953|-845,416|0|1|0|0|0|6|0|1
14|1,921|-1,953|-846,466|0|1|0|0|0|6|0|1
14,175|1,908|-1,953|-847,516|0|1|0|0|0|6|0|1
14,35|1,895|-0,844|-848,544|0|1|0|0|0|7|4|1
14,525|1,882|-0,302|-849,658|0|1|0|0|1|8|3|1
14,7|1,867|0,15|-850,84|0|1|0|0|1|7|3|1
14,875|1,854|0,621|-852,022|0|1|0|0|1|7|2|1
15,05|1,844|1,041|-853,204|0|1|0|0|1|7|3|1
15,225|1,839|1,47|-854,386|0|1|0|0|1|7|3|1
15,4|1,836|1,965|-855,568|0|1|0|0|1|8|3|1
15,575|1,833|2,417|-856,751|0|1|0|0|1|7|3|1
15,75|1,832|2,898|-857,933|0|1|0|0|1|7|2|1
15,925|1,832|3,362|-859,115|0|1|0|0|1|8|3|1
16,1|1,825|3,824|-860,297|0|1|0|0|1|7|3|1
16,275|1,809|4,306|-861,479|0|1|0|0|1|7|3|1
16,45|1,787|4,75|-862,661|0|1|0|0|1|8|3|1
16,625|1,764|5,113|-863,818|0|1|0|0|0|6|-1|1
16,8|1,743|4,594|-864,823|0|1|0|0|0|8|-6|1
16,975|1,954|3,195|-865,676|0|0,8|0|0,5|0|12|-11|1
17,15|2,512|1,06|-866,494|0|1|0|0,2|0|16|-14|1
17,325|2,866|-1,691|-867,442|0|1|0|0|0|6|0|1
17,5|2,936|-1,953|-868,468|0|1|0|0|0|6|0|1
17,675|2,898|-1,953|-869,517|0|1|0|0|0|6|0|1
17,85|2,852|-1,953|-870,566|0|1|0|0|0|6|0|1
18,025|2,796|-1,953|-871,615|0|1|0|0|0|6|0|1
18,2|2,731|-1,299|-872,655|0|1|0|0|0|9|7|1
18,375|2,656|-0,508|-873,7|0|1|0|0|1|8|4|1
18,55|2,546|-0,009|-874,877|0|1|0|-0,1|1|7|2|1
18,725|2,424|0,446|-876,052|0|1|0|0|1|7|2|1
18,9|2,332|0,884|-877,231|0|1|0|0|1|7|2|1
19,075|2,263|1,305|-878,411|0|1|0|0|1|7|3|1
19,25|2,202|1,759|-879,592|0|1|0|0|1|8|4|1
19,425|2,15|2,259|-880,773|0|1|0|0|1|7|2|1
19,6|2,409|2,718|-881,909|0|1|0|0,3|1|7|2|1
19,775|3,066|3,152|-882,89|0|0,9|0|0,4|1|8|4|1
19,95|3,462|3,662|-883,995|0|1|0|0,1|1|7|2|1
20,125|3,573|4,12|-885,171|0|1|0|0|1|8|3|1
20,3|3,591|4,571|-886,353|0|1|0|0|1|7|3|1
20,475|3,582|4,648|-887,455|0|1|0|0|0|7|-3|1
20,65|3,565|3,747|-888,469|0|1|0|0|0|10|-8|1
20,825|3,534|2,813|-889,617|0|1|0|0|1|7|-1|1
21|3,497|2,485|-890,75|0|1|0|0|0|8|-5|1
21,175|3,462|1,317|-891,765|0|1|0|0|0|11|-9|1
21,35|3,427|-0,625|-892,777|0|1|0|0|0|15|-13|1
21,525|3,387|-1,953|-893,8|0|1|0|0|0|6|0|1
21,7|3,307|-1,953|-894,845|0|1|0|0|0|6|0|1
21,875|3,19|-1,953|-895,889|0|1|0|-0,1|0|6|0|1
22,05|2,612|-1,953|-896,677|0|0,9|0|-0,3|0|6|0|1
